122: SBC #dd       SBC  A,dd       E9H 76H 2 2 cpu3 ;          immediate
123: SBC aa        SBC  A,(aa)     E5H 37H 2 3 cpu3 ;          zero page
124: SBC aa,X      SBC  A,(aa+X)   F5H 3FH 2 4 6502 ;zero page indexed x
125: SBC aaaa      SBC  A,(aaaa)   EDH 77H 3 4 6502 ;           absolute
126: SBC aaaa,X    SBC  A,(aaaa+X) FDH 7FH 3 4 6502 ;absolute  indexed x
127: SBC aaaa,Y    SBC  A,(aaaa+Y) F9H 7EH 3 4 6502 ;absolute  indexed y
128: SBC (aa,X)    SBC  A,((aa+X)) E1H 36H 2 6 6502 ; indexed indirect x
129: SBC (aa),Y    SBC  A,((aa)+Y) F1H 3EH 2 5 6502 ; indirect indexed y
130: SEC           SCF             38H 58H 1 2 cpu3 ;            implied
131: SED           SDF             F8H 7AH 1 2 6502 ;            implied
132: SEI           DI              78H 5AH 1 2 cpu3 ;            implied
133: STA aa        LD   (aa),A     85H 25H 2 3 cpu3 ;          zero page
134: STA aa,X      LD   (aa+X),A   95H 2DH 2 4 cpu3 ;zero page indexed x
135: STA aaaa      LD   (aaaa),A   8DH 65H 3 4 6502 ;           absolute
136: STA aaaa,X    LD   (aaaa+X),A 9DH 6DH 3 5 6502 ;absolute  indexed x
137: STA aaaa,Y    LD   (aaaa+Y),A 99H 6CH 3 5 6502 ;absolute  indexed y
138: STA (aa,X)    LD   ((aa+X)),A 81H 24H 2 6 cpu3 ; indexed indirect x
139: STA (aa),Y    LD   ((aa)+Y),A 91H 2CH 2 6 6502 ; indirect indexed y
140: STX aa        LD   (aa),X     86H A1H 2 3 cpu3 ;          zero page
141: STX aa,Y      LD   (aa+Y),X   96H A9H 2 4 6502 ;zero page indexed y
142: STX aaaa      LD   (aaaa),X   8EH E1H 3 4 cpu3 ;           absolute
143: STY aa        LD   (aa),Y     84H 21H 2 3 6502 ;          zero page
144: STY aa,X      LD   (aa+X),Y   94H 29H 2 4 6502 ;zero page indexed x
145: STY aaaa      LD   (aaaa),Y   8CH 61H 3 4 6502 ;           absolute
146: TAX           LD   X,A        AAH F0H 1 2 cpu5 ;            implied
147: TAY           LD   Y,A        A8H 70H 1 2 6502 ;            implied
148: TSX           LD   X,SP       BAH F8H 1 2 cpu3 ;            implied
149: TXA           LD   A,X        8AH E0H 1 2 cpu5 ;            implied
150: TXS           LD   SP,X       9AH E8H 1 2 cpu3 ;            implied
151: TYA           LD   A,Y        98H 68H 1 2 6502 ;            implied
